Date;Time;Vlna;Vlnb;Vlnc;Vllavg;;kWa;;kWb;kWc;kVARa;kVARb;kVARc;Ia;Ib;Ic;kWtot
01;07;2018;07:00:00.000;7932.177246;7974.424316;8068.542969;13841.064453;2452.636963;2072.505371;2528.772705;632.752747;427.910217;635.835022;320.870178;266.601593;324.832794;7053.915527
01;07;2018;07:10:00.000;7925.437012;7963.602051;8059.577637;13825.746094;2484.425049;2066.803467;2505.804443;638.294006;417.660248;639.620178;325.161316;265.989319;322.547913;7057.033203
01;07;2018;07:20:00.000;7915.139648;7954.283203;8046.574707;13806.940430;2478.811279;2082.971924;2551.148682;633.182190;410.228027;643.697083;324.700195;268.076324;328.579865;7112.931641
01;07;2018;07:30:00.000;7925.767578;7955.621094;8059.705566;13821.456055;2414.499023;2061.191650;2514.324219;632.323181;415.450287;628.016602;316.426483;265.472961;323.108521;6990.015137
01;07;2018;07:40:00.000;7922.428711;7958.753418;8057.702148;13820.133789;2458.422607;2051.444092;2522.816162;646.193481;422.197510;627.631897;322.398804;264.381165;324.234100;7032.683105
01;07;2018;07:50:00.000;7923.325195;7959.436035;8064.558105;13824.984375;2480.427979;2077.696045;2510.221680;651.161438;423.200775;623.874512;325.235138;267.599915;322.403381;7068.345703
01;07;2018;08:00:00.000;7936.364258;7965.000488;8068.981445;13838.285156;2459.468750;2078.699463;2479.995361;633.914917;429.299744;638.444946;321.606873;267.696960;319.015625;7018.164063
01;07;2018;08:10:00.000;7929.372559;7965.140137;8068.244629;13833.913086;2466.671143;2070.432129;2466.095215;657.376770;424.842285;628.450317;323.470612;266.576874;317.128113;7003.198730
01;07;2018;08:20:00.000;7917.341309;7945.433594;8054.145020;13807.465820;2443.655762;2069.859131;2465.138672;641.843750;426.159485;642.653076;320.649139;267.212158;317.949158;6978.653809
01;07;2018;08:30:00.000;7928.813965;7954.254883;8067.753906;13827.032227;2407.247314;2027.556030;2418.316650;617.193787;406.132751;613.153015;315.012054;261.248199;310.944244;6853.120117
01;07;2018;08:40:00.000;7923.417480;7951.437012;8070.409668;13823.854492;2414.064453;2055.427979;2387.608887;649.599243;436.161621;590.678284;317.056976;265.500427;306.477692;6857.101563
01;07;2018;08:50:00.000;7928.770508;7961.406250;8067.117676;13830.779297;2426.464600;2042.086060;2423.680176;651.610168;436.537354;641.034241;318.399841;263.549042;312.426208;6892.230957
01;07;2018;09:00:00.000;7928.863281;7958.306152;8069.854492;13830.650391;2410.419678;2025.212280;2406.152344;660.288391;428.220703;615.718506;316.698059;261.356171;309.393860;6841.784180
01;07;2018;09:10:00.000;7938.837891;7965.093262;8079.704102;13846.014648;2394.164307;2004.745361;2357.602051;653.119019;427.046875;616.614380;314.092682;258.597656;303.223083;6756.511230
01;07;2018;09:20:00.000;7951.222168;7979.511230;8087.907227;13866.199219;2364.329346;1960.221802;2358.189209;648.938843;429.485016;629.756470;309.898193;252.758759;303.460236;6682.740234
01;07;2018;09:30:00.000;7937.921387;7950.803711;8072.594238;13833.135742;2348.333008;1983.370117;2307.791748;615.344299;443.372650;613.175903;307.354980;256.860046;297.453674;6639.494629
01;07;2018;09:40:00.000;7951.870605;7971.718750;8083.099609;13859.322266;2317.994385;1964.376831;2318.303467;626.162598;424.075958;630.172058;303.489929;253.345581;298.854126;6600.674316
01;07;2018;09:50:00.000;7970.256836;7998.527344;8103.105957;13896.948242;2348.646484;1992.328735;2331.595215;645.804993;436.238159;648.212158;307.181030;256.229828;300.276093;6672.570313
01;07;2018;10:00:00.000;7979.901367;8012.299316;8114.732910;13917.161133;2331.141113;1912.796631;2342.092285;669.566162;443.658722;650.434631;305.490753;246.346146;301.194244;6586.030273
01;07;2018;10:10:00.000;7980.863770;8014.342285;8119.343262;13921.537109;2341.376465;1890.279297;2298.532471;666.333435;433.712830;628.524780;306.569244;243.331207;295.191803;6530.187988
01;07;2018;10:20:00.000;7990.977051;8025.373535;8128.472168;13939.021484;2297.844971;1869.085205;2305.222656;674.171265;448.432007;643.122803;301.244232;240.870544;296.130981;6472.153320
01;07;2018;10:30:00.000;7985.862793;8013.902832;8117.612793;13923.214844;2264.840576;1873.530640;2280.332275;636.071228;434.762665;631.002930;296.161438;241.304886;293.124634;6418.703613
01;07;2018;10:40:00.000;8029.151855;8065.562500;8160.479980;14002.775391;2296.304932;1911.352051;2305.052490;661.268066;450.779633;658.819153;299.188446;244.804138;295.458130;6512.709473
01;07;2018;10:50:00.000;8026.748535;8062.828613;8157.892578;13998.382813;2270.847900;1908.133911;2265.850098;658.899780;456.559967;635.219727;296.119751;244.635651;290.094788;6444.832031
01;07;2018;11:00:00.000;8035.451660;8071.666992;8169.103516;14014.967773;2276.032227;1882.223755;2234.885010;646.163940;459.521027;644.212891;296.001648;241.302826;286.396698;6393.141113
01;07;2018;11:10:00.000;8040.047363;8073.016602;8164.268066;14015.643555;2231.971191;1907.776855;2250.395264;635.770264;449.161072;653.619629;290.210907;244.030472;288.638519;6390.143066
01;07;2018;11:20:00.000;8037.429688;8071.774902;8158.257324;14009.952148;2209.056885;1918.868042;2268.797363;639.560852;458.386200;658.893738;287.666443;245.659424;291.144226;6396.722168
01;07;2018;11:30:00.000;8038.958496;8074.362305;8167.479004;14017.652344;2201.446533;1886.294922;2231.907227;633.757019;452.223053;627.459961;286.504883;241.459808;285.496124;6319.648438
01;07;2018;11:40:00.000;8024.064453;8058.086914;8149.699707;13989.388672;2172.773682;1869.125244;2230.831299;603.667175;434.519318;620.187561;282.594208;239.411926;285.717773;6272.729980
01;07;2018;11:50:00.000;7993.464355;8024.705078;8120.679199;13935.661133;2176.424316;1871.861206;2226.490234;577.047668;429.813324;598.490173;283.339569;240.613525;285.576233;6274.775879
01;07;2018;12:00:00.000;8027.156738;8065.380371;8155.156250;13998.461914;2202.080078;1850.956421;2248.018799;603.345764;426.611053;638.829529;286.077179;236.803375;288.245941;6301.055176
01;07;2018;12:10:00.000;8024.022949;8056.617188;8153.201172;13990.472656;2222.348633;1889.930420;2213.565918;605.543701;444.373077;609.014771;288.707886;242.255142;283.344788;6325.845215
01;07;2018;12:20:00.000;8024.027832;8063.292969;8153.526367;13994.456055;2237.780273;1875.615112;2273.668457;618.863098;434.617889;624.306274;291.102295;240.126541;290.969543;6387.063477
01;07;2018;12:30:00.000;8030.527832;8060.510742;8158.963867;13999.712891;2231.631836;1891.262085;2246.204834;597.606812;437.944397;602.222473;289.539856;242.231766;286.919037;6369.098633
01;07;2018;12:40:00.000;8052.285645;8085.201172;8178.026367;14037.493164;2229.122559;1910.010254;2308.347656;599.109070;436.446899;633.187134;288.588806;243.745682;294.622864;6447.480469
01;07;2018;12:50:00.000;8048.546875;8083.932129;8179.100098;14035.151367;2237.232178;1903.465210;2346.781006;582.690674;421.338257;598.894043;289.334747;242.672913;298.215240;6487.478516
01;07;2018;13:00:00.000;8036.020020;8076.885254;8168.815918;14017.799805;2296.190918;1928.012207;2390.849609;597.165466;412.662323;595.015015;297.537170;245.788712;303.941956;6615.052734
01;07;2018;13:10:00.000;8015.842773;8064.048828;8153.625000;13989.892578;2391.919922;1977.761841;2473.237305;614.364014;415.955261;600.081421;310.476318;252.410980;314.654175;6842.918945
01;07;2018;13:20:00.000;7949.104004;8002.378906;8089.261719;13878.551758;2520.459961;2118.926270;2647.740967;664.994873;438.199066;677.185181;330.327850;272.201294;340.397217;7287.126953
01;07;2018;13:30:00.000;7872.037109;7923.549316;8015.515137;13745.862305;2547.924561;2168.148438;2733.365234;617.114990;401.923950;641.471558;335.641602;280.260986;352.961884;7449.437988
01;07;2018;13:40:00.000;8022.128418;8057.697266;8171.129883;13999.692383;2723.667725;2308.572266;2903.147949;695.796692;467.938843;728.082642;353.296478;294.417236;369.246002;7935.388184
01;07;2018;13:50:00.000;8019.618652;8054.899902;8169.646973;13995.661133;2776.164551;2361.835449;2985.155273;678.932190;453.585297;703.908936;359.416901;300.833588;378.580292;8123.155273
01;07;2018;14:00:00.000;7947.206543;7968.800293;8099.077637;13863.318359;2814.607422;2387.714844;2987.744141;644.202087;431.440430;672.824707;366.492188;306.798889;381.347168;8190.066895
01;07;2018;14:10:00.000;7926.285645;7952.446777;8083.332031;13832.617188;2826.829834;2372.077393;3013.846680;630.844666;412.904358;647.515259;368.664642;305.222870;384.760986;8212.753906
01;07;2018;14:20:00.000;7917.327637;7935.824219;8068.727539;13809.399414;2846.567627;2445.059326;3020.548584;615.162354;403.645508;650.381897;371.164185;314.725616;386.364929;8312.174805
01;07;2018;14:30:00.000;7957.889160;7979.031250;8107.483887;13880.118164;2851.546387;2449.363770;3064.848389;634.050415;414.953735;666.583374;370.470886;313.823700;390.366425;8365.758789
01;07;2018;14:40:00.000;7961.829102;7988.315430;8111.499023;13890.046875;2898.633301;2477.038818;3081.591064;639.429810;422.168427;656.837646;376.206909;317.049622;391.943695;8457.262695
01;07;2018;14:50:00.000;7962.611816;7993.855957;8112.931152;13894.512695;2894.691406;2471.544434;3130.123535;653.001770;420.779358;647.288818;376.042084;316.191437;397.503876;8496.359375
01;07;2018;15:00:00.000;7976.666016;8007.671387;8129.665527;13920.224609;2909.748047;2444.188477;3078.796387;637.236450;402.701355;634.607361;376.845184;311.982971;390.292664;8432.732422
01;07;2018;15:10:00.000;7983.394531;8011.981445;8136.027832;13930.287109;2890.660645;2450.869385;3126.977783;645.426086;425.579102;643.103210;374.399567;313.081573;395.966644;8468.506836
01;07;2018;15:20:00.000;8006.188477;8035.336426;8158.383301;13969.836914;2874.995117;2454.637939;3082.830811;630.974487;418.941528;632.391174;371.136871;312.497040;389.417480;8412.463867
01;07;2018;15:30:00.000;8010.343262;8036.168457;8158.963867;13973.055664;2884.780518;2475.570801;3090.989014;635.086548;418.833435;653.253723;372.199646;315.030121;390.826630;8451.339844
01;07;2018;15:40:00.000;8005.734375;8031.999512;8158.228516;13967.581055;2881.234375;2469.927734;3076.930420;634.308289;424.670319;642.933533;371.919830;314.607849;388.915253;8428.092773
01;07;2018;15:50:00.000;8011.819336;8038.961914;8164.911133;13978.960938;2862.981445;2448.312500;3068.352295;626.292297;416.843292;653.577332;369.288818;311.542145;387.802155;8379.646484
01;07;2018;16:00:00.000;8050.784668;8085.885254;8203.831055;14051.044922;2905.820313;2436.702148;3085.070801;661.952820;426.857056;671.604736;373.475769;308.536530;388.367737;8427.592773
01;07;2018;16:10:00.000;8051.910645;8079.839355;8197.016602;14044.332031;2841.078613;2443.150635;3057.939453;648.432678;424.104767;672.191040;365.236481;309.390717;385.358521;8342.168945
01;07;2018;16:20:00.000;8056.358398;8087.775879;8200.837891;14053.669922;2858.767822;2416.794434;3071.497070;664.524231;429.378357;709.918335;367.595917;306.007294;387.752594;8347.059570
01;07;2018;16:30:00.000;8080.684082;8105.396973;8228.132813;14093.707031;2851.773926;2420.869385;3011.332764;667.132568;451.357758;691.810913;365.631348;306.266663;378.874603;8283.975586
01;07;2018;16:40:00.000;8133.649414;8164.853516;8272.288086;14184.152344;2821.549805;2403.690918;3008.464355;678.852356;451.202240;722.576416;360.002991;301.936035;377.265259;8233.705078
01;07;2018;16:50:00.000;8115.295898;8145.406250;8254.087891;14151.898438;2804.049316;2386.498291;2990.288330;680.634766;458.941467;730.165222;358.635437;300.599396;375.992767;8180.835449
01;07;2018;17:00:00.000;8147.848633;8177.404785;8286.940430;14208.204102;2772.315430;2341.925049;2936.847656;671.009827;445.785095;715.540710;352.945984;293.708405;367.806549;8051.087891
01;07;2018;17:10:00.000;8166.353027;8201.303711;8304.836914;14243.119141;2713.938477;2293.759521;2918.389160;695.524963;461.337158;736.991943;345.753204;287.296509;365.272827;7926.086914
01;07;2018;17:20:00.000;8000.446289;8029.090332;8137.238281;13951.304688;2616.680176;2243.744141;2765.786621;613.059631;418.867401;630.341064;338.403137;286.151855;351.282257;7626.210938
01;07;2018;17:30:00.000;8023.407715;8053.476074;8160.475098;13992.155273;2600.260254;2234.987061;2747.268066;616.795593;411.530243;631.906494;335.360748;283.895599;347.908997;7582.515137
